Send message {Progress, MessagePack, 4 bytes}
Send message {IgnoredNodes, MessagePack, 14957 bytes}
Send message {NodeScanStatus, MessagePack, 79 bytes}
Send message {NodeScanStatus, MessagePack, 71 bytes}
Send message {NodeScanStatus, MessagePack, 75 bytes}
Send message {NodeScanStatus, MessagePack, 89 bytes}
Send message {NodeScanStatus, MessagePack, 29 bytes}
Send message {NodeScanStatus, MessagePack, 30 bytes}
Send message {NodeScanStatus, MessagePack, 34 bytes}
Send message {NodeScanStatus, MessagePack, 37 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 30 bytes}
Send message {NodeScanStatus, MessagePack, 34 bytes}
Send message {NodeScanStatus, MessagePack, 29 bytes}
Send message {NodeScanStatus, MessagePack, 37 bytes}
Send message {NodeScanStatus, MessagePack, 31 bytes}
Send message {NodeScanStatus, MessagePack, 34 bytes}
Send message {NodeScanStatus, MessagePack, 44 bytes}
Send message {NodeScanStatus, MessagePack, 41 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 31 bytes}
Send message {NodeScanStatus, MessagePack, 34 bytes}
Send message {NodeScanStatus, MessagePack, 44 bytes}
Send message {NodeScanStatus, MessagePack, 41 bytes}
Send message {NodeScanStatus, MessagePack, 41 bytes}
Send message {NodeScanStatus, MessagePack, 39 bytes}
Send message {NodeScanStatus, MessagePack, 90 bytes}
Send message {NodeScanStatus, MessagePack, 67 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 41 bytes}
Send message {NodeScanStatus, MessagePack, 39 bytes}
Send message {NodeScanStatus, MessagePack, 90 bytes}
Send message {NodeScanStatus, MessagePack, 67 bytes}
Send message {NodeScanStatus, MessagePack, 69 bytes}
Send message {NodeScanStatus, MessagePack, 59 bytes}
Send message {NodeScanStatus, MessagePack, 88 bytes}
Send message {NodeScanStatus, MessagePack, 65 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 69 bytes}
Send message {NodeScanStatus, MessagePack, 59 bytes}
Send message {NodeScanStatus, MessagePack, 88 bytes}
Send message {NodeScanStatus, MessagePack, 65 bytes}
Send message {NodeScanStatus, MessagePack, 86 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 63 bytes}
Send message {NodeScanStatus, MessagePack, 95 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 86 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 63 bytes}
Send message {NodeScanStatus, MessagePack, 95 bytes}
Send message {NodeScanStatus, MessagePack, 77 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 77 bytes}
Send message {NodeScanStatus, MessagePack, 79 bytes}
Send message {NodeScanStatus, MessagePack, 79 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {ScanDone, ByteArray, 0 bytes}
Elapsed time of the 'Scan' stage: 00:00:04.6103472
Send message {Progress, MessagePack, 4 bytes}
Send message {FinalizeDone, ByteArray, 0 bytes}
Elapsed time of the 'Finalize' stage: 00:00:00.0297072
